Bus1-generator(MW),Bus1-generator(MVR),Bus1-load(MW),Line Flow ( 1 to 2),Line Flow (1 to 3),Bus2-generator(MW),Bus2-generator(MVR),Bus2-load(MW),Line Flow ( 2 to 1),Line Flow (2 to 3),Bus3-generator(MW),Bus3-generator(MVR),Bus3-load(MW),Line Flow ( 3 to 2),Line Flow (3 to 1),Current Time
100,2,100,19,-19,165,125,220,-19,-36,165,39,110,37,19,06:13 AM
100,2,100,20,-20,177,134,236,-20,-39,177,42,118,39,20,06:23 AM
100,3,100,22,-22,198,150,264,-22,-44,198,47,132,44,22,06:40 AM
100,3,100,29,-29,260,197,346,-29,-57,260,62,173,57,29,07:29 AM
100,5,100,40,-40,353,268,469,-40,-77,353,8,235,78,40,08:43 AM
100,6,100,44,-44,393,298,522,-44,-86,393,9,261,87,44,09:15 AM
100,6,100,47,-47,416,316,554,-47,-91,416,100,277,92,47,09:34 AM
100,6,100,48,-48,426,324,567,-48,-93,426,102,284,94,48,09:42 AM
100,6,100,49,-49,437,332,581,-49,-95,437,105,291,97,50,09:50 AM
